11468 ,   -1192 ,   12880 ,   -4605 ,   -4427 ,    1727
  12392 ,   -2816 ,    9516 ,   -6163 ,  -12669 ,     248
  14872 ,   -4908 ,    3864 ,    1198 ,   -6408 ,     790
  16280 ,   -5180 ,     188 ,    4366 ,  -13066 ,    5720
  13856 ,   -7444 ,   -6996 ,    6901 ,  -14333 ,   -1917
  13452 ,   -7412 ,   -8820 ,    3815 ,   -9166 ,    1429
  11576 ,   -7536 ,  -11624 ,  -32768 ,   28179 ,    7645
   5536 ,   -7668 ,   -3460 ,  -20549 ,   16433 ,   13743
  14204 ,   -8948 ,   -4756 ,    1400 ,     -65 ,    -458
  14612 ,   -8368 ,   -4064 ,    1949 ,   -1425 ,   -2710
---  13560 ,   -7220 ,   -9080 ,    -390 ,    -745 ,      77
  13104 ,   -7052 ,   -9056 ,    -436 ,    -513 ,     -68
  14588 ,   -4904 ,   -5548 ,   -6743 ,    1574 ,   -6049
   6888 ,    4460 ,  -19480 ,  -28459 ,   26869 ,   32767
  14940 ,   -5080 ,   -9240 ,    1163 ,     180 ,   -2183
  13660 ,   -3888 ,   -9520 ,    2915 ,   -2565 ,   -3730
  15760 ,   -3008 ,   -4644 ,   28275 ,   -3261 ,  -18377
  13160 ,   -4484 ,   -8512 ,   17622 ,    2601 ,   -5255
  16140 ,   -3996 ,   -5780 ,    2458 ,     766 ,   -3174
  15840 ,   -3816 ,   -6036 ,     533 ,    -392 ,    -647
---  14988 ,   -3964 ,   -9216 ,    -602 ,    -114 ,      38
  14392 ,   -4308 ,   -8524 ,     218 ,    -137 ,    -409
  14384 ,   -4160 ,   -9228 ,     307 ,      76 ,    -489
  16660 ,   -1488 ,   -8220 ,   27824 ,     782 ,  -16109
  15244 ,   -3612 ,   -6932 ,    6511 ,    -223 ,   -1222
  15988 ,   -3544 ,   -5476 ,      48 ,    -271 ,    -220
  15908 ,   -3444 ,   -6588 ,    -650 ,    -174 ,    -403
  15484 ,   -3620 ,   -5828 ,     874 ,    -569 ,     -33
  15732 ,   -3520 ,   -6692 ,    -341 ,    -237 ,     111
  15728 ,   -3660 ,   -6832 ,     -88 ,    -424 ,    -325
---  12144 ,   -6708 ,   -6248 ,     173 ,   -1048 ,   -1603
  15600 ,   -6172 ,   -6720 ,     395 ,     454 ,    -999
  15076 ,   -5920 ,   -5920 ,    1529 ,    1098 ,   -1778
  15068 ,   -4824 ,   -7368 ,    9859 ,    1038 ,   -7095
  15848 ,   -3116 ,   -6032 ,   15078 ,   -5108 ,   -2161
  15480 ,   -4724 ,   -5632 ,    8384 ,   -1795 ,    -776
  16248 ,   -4788 ,   -4696 ,    -520 ,    -426 ,    -240
  15884 ,   -4500 ,   -4816 ,    1973 ,    -149 ,    -890
  15904 ,   -4544 ,   -4684 ,    -332 ,    -298 ,     142
  16224 ,   -4384 ,   -4872 ,    -173 ,      66 ,      77
---   8880 ,  -11952 ,   -7144 ,   -5307 ,   -5544 ,     -96
  10776 ,   -5128 ,   -6332 ,  -32768 ,   -4226 ,   15191
   3276 ,   -3292 ,  -12656 ,   -4606 ,   32767 ,   32767
  19756 ,   -6228 ,   -6368 ,   -2148 ,     484 ,    4368
  14408 ,   -5960 ,   -7752 ,    1452 ,    -274 ,   -3131
  14484 ,   -3604 ,   -7800 ,   29206 ,   -3130 ,  -18433
  16200 ,   -3348 ,   -6112 ,   17830 ,   -5641 ,   -4704
  14688 ,   -4616 ,   -7168 ,    4290 ,    1699 ,    -770
  15328 ,   -4260 ,   -7544 ,   -1175 ,     447 ,     598
  15588 ,   -4240 ,   -7440 ,    -620 ,    -166 ,    -138
---  15360 ,   -4896 ,   -6716 ,     275 ,     174 ,    -167
  16212 ,   -4696 ,   -5372 ,   22159 ,     380 ,   -5033
  16188 ,   -3352 ,   -2824 ,   10877 ,   -9356 ,   -1090
  -1540 ,    4956 ,  -24828 ,  -32768 ,  -21259 ,   32767
  15232 ,   -4028 ,  -11796 ,    -718 ,    5118 ,    5525
  12700 ,   -2752 ,  -10520 ,     569 ,     744 ,   -2042
  14296 ,   -1824 ,  -12796 ,    6676 ,    -220 ,   -4833
